Entry,Name,Symbol
14,ACTIVISION BLIZZARD,ATVI
2,ADOBE INC.,ADBE
9,ADV MICRO DEVICES,AMD
7,ALEXION PHARM INC,ALXN
6,ALIGN TECHNOLOGY I,ALGN
47,ALPHABET CL A CMN,GOOGL
46,ALPHABET CL C CAP,GOOG
11,AMAZON.COM INC,AMZN
10,AMGEN,AMGN
3,ANALOG DEVICES CMN,ADI
12,ANSYS INC,ANSS
1,APPLE INC.,AAPL
8,APPLIED MATERIALS,AMAT
13,ASML HLDG NY REG,ASML
5,AUTODESK INC,ADSK
4,AUTOMATIC DATA PROCS,ADP
16,BAIDU INC.,BIDU
17,BIOGEN INC CMN,BIIB
19,BIOMARIN PHARMACEUT,BMRN
18,BOOKING HOLDINGS INC,BKNG
15,BROADCOM INC.,AVGO
20,CADENCE DESIGN SYS,CDNS
21,CDW CORPORATION,CDW
22,CERNER CORP,CERN
24,CHARTER COMMUNICATIO,CHTR
23,CHECK POINT SOFTWARE,CHKP
30,CINTAS CORP,CTAS
28,CISCO SYSTEMS INC,CSCO
32,CITRIX SYSTEMS INC,CTXS
31,COGNIZANT TECH SOL,CTSH
25,COMCAST CORP A,CMCSA
27,COPART INC.,CPRT
26,COSTCO WHOLESALE,COST
29,CSX CORPORATION,CSX
35,DEXCOM,DXCM
34,DOCUSIGN INC. CMN,DOCU
33,DOLLAR TREE INC,DLTR
37,EBAY INC.,EBAY
36,ELECTRONIC ARTS INC,EA
38,EXELON CORP CMN STK,EXC
39,EXPEDIA GROUP INC.,EXPE
41,FACEBOOK INC,FB
40,FASTENAL CO,FAST
42,FISERV INC.,FISV
44,FOX CORP CM A,FOXA
43,FOX CORP CM B,FOX
45,GILEAD SCIENCES INC,GILD
48,IDEXX LABORATORIES,IDXX
49,ILLUMINA INC.,ILMN
50,INCYTE CORPORATION,INCY
51,INTEL CORP,INTC
52,INTUIT INC,INTU
53,INTUITIVE SURG INC.,ISRG
54,JD.COM INC. ADS,JD
55,KEURIG DR PEPPER INC,KDP
57,KLA CP CMN STK,KLAC
56,KRAFT HEINZ CO CMN,KHC
60,LAM RESEARCH CORP,LRCX
58,LIBERTY GLOBAL ORD A,LBTYA
61,LULULEMON ATHLETICA,LULU
62,MARRIOTT INT CL A CM,MAR
70,MAXIM INTEGRATED,MXIM
65,MERCADOLIBRE INC.,MELI
63,MICROCHIP TECHNOLOGY,MCHP
69,MICRON TECHNOLOGY,MU
68,MICROSOFT CORP,MSFT
67,MODERNA INC CS,MRNA
64,MONDELEZ INTL CMN A,MDLZ
66,MONSTER BEVERAGE CP,MNST
72,NETEASE INC ADS,NTES
71,NETFLIX INC.,NFLX
73,NVIDIA CORPORATION,NVDA
74,NXP SEMICONDUCTORS,NXPI
75,O'REILLY AUTOMOTIVE,ORLY
77,PACCAR INC.,PCAR
76,PAYCHEX INC.,PAYX
80,PAYPAL HOLDINGS,PYPL
79,PEPSICO INC,PEP
78,PINDUODUO INC. ADS,PDD
81,QUALCOMM INC,QCOM
82,REGENERON PHARMACEUT,REGN
83,ROSS STORES INC.,ROST
85,SEAGEN INC. CMN STK,SGEN
86,SIRIUS XM HOLDINGS I,SIRI
89,SKYWORKS SOLUTIONS,SWKS
88,SPLUNK INC.,SPLK
84,STARBUCKS CORP,SBUX
87,SYNOPSYS INC.,SNPS
91,T-MOBILE US CMN,TMUS
93,TAKE-TWO INTERACTI,TTWO
92,TESLA INC.,TSLA
94,TEXAS INSTRUMENTS,TXN
90,TRIP.COM GROUP LTD.,TCOM
95,ULTA BEAUTY INC.,ULTA
97,VERISIGN INC.,VRSN
96,VERISK ANALYTICS INC,VRSK
98,VERTEX PHARMACEUTIC,VRTX
99,WALGREENS BTS ALN CM,WBA
100,WORKDAY INC CL A,WDAY
